ID,county,total_cost,benefit_2015,benefit_2040,bc_2015,bc_2040,current_congestion,current_safety,current_freight,current_reliability,current_eta,current_air,current_access,current_score,future_congestion,future_access,future_freight,future_deliverable,future_air,future_volume,future_score
St Rt 20 North: Whole,Forsyth,559790000,20220000,138020000,0.48,3.3,0.26,0.03,1,0.12,1,0.11,0.05,34.09,1,0.48,1,0.25,0.15,0.7,63.78
GW-020D,Gwinnett,14280000,4610000,14360000,4.3,13.41,0.36,0.05,1,0.16,0,0.23,0.05,22.85,0.21,0.48,0.52,0.72,0.76,1,52.01
FT-001C,Forsyth,25410000,4750000,24850000,2.1,10.97,0.27,0.04,1,0.29,0,0.14,0.05,21.45,0.31,0.48,0.47,0.45,0.8,0.5,47.48
CH-020A2,Cherokee,185720000,8580000,27480000,0.57,1.82,0.25,0.02,1,0.13,0,0.1,0.05,18.64,0.32,0.48,0.8,0.25,0.53,0.7,47.17
Griffen Bypass,Spalding,48390000,830000,440000,0.2,0.11,0.22,0.02,1,0,1,0.05,0.05,31.22,0.08,0.47,0.45,0.7,0.8,0.2,39.69
PA-092C,Paulding,53380000,3340000,11680000,0.8,2.8,0.3,0.08,1,0.14,0,0.1,0.05,20.55,0.19,0.47,0.41,0.24,0.86,0.5,41.9
NE-004,Newton,21760000,2360000,6420000,1.46,3.97,0.36,0.01,1,0.21,0,0.09,0.05,21.25,0.13,0.48,0.61,0.33,1,0.6,46.35
HE-920B,Henry,62240000,1690000,7520000,0.3,1.35,0.24,0.04,1,0.02,0,0.1,0.05,17.74,0.15,0.47,0.47,0.21,0.82,0.5,40.14
PA-092A,Paulding,74370000,7570000,34230000,1.21,5.46,0.28,0.06,1,0.1,1,0.11,0.05,34.61,0.4,0.49,0.46,0.28,0.8,0.6,49.5
Chapel Hill,Douglas,21800000,830000,2520000,0.51,1.55,0.29,0.06,1,0.25,0,0.07,0.06,21.11,0.1,0.48,0.42,0.66,0.83,0.6,44.42
RO-AR-138,Rockdale,47170000,910000,690000,0.31,0.24,0.35,0.25,1,0.39,1,0.28,0.06,43.66,0.09,0.47,0.45,1,0.82,1,51.28
Salem Interchange,Rockdale,72290000,2080000,400000,0.47,0.09,0.23,0.39,1,0.08,1,0.13,0.06,38.84,0.08,0.47,0.46,0.74,0.78,0.7,44.87
Sigmond A,Rockdale,61990000,1130000,4600000,0.24,0.98,0.28,0.07,1,0.12,1,0.11,0.06,35.11,0.12,0.49,0.46,0.69,0.81,0.5,44.62
CO-301,Cobb,27190000,3950000,15180000,2.3,8.83,0.28,0.01,1,0.14,0,0.1,0.06,19.42,0.22,0.49,0.54,0.09,0.74,0.7,43.38
FT-001A,Forsyth,8200000,720000,3270000,1.28,5.84,0.32,0.05,1,0.28,0,0.15,0.06,22.71,0.11,0.48,0.44,0.54,0.8,0.7,44.1
Sigmond B,Rockdale,91290000,1800000,11960000,0.27,1.81,0.27,0.04,1,0.11,1,0.11,0.06,34.57,0.19,0.49,0.46,0.65,0.84,0.4,45.66
RO-235D,Rockdale,8710000,150000,1000000,0.08,0.52,0.28,0.07,1,0.19,1,0.11,0.07,35.92,0.09,0.49,0.45,0.72,0.84,0.4,43.27
Salem Rd,Newton,74030000,4720000,19450000,0.94,3.87,0.3,0.03,1,0.22,0,0.08,0.07,20.81,0.25,0.48,0.75,0.53,0.49,0.6,45.59
HE-107,Henry,93300000,4090000,24630000,0.63,3.81,0.3,0.02,1,0.17,1,0.1,0.07,35.42,0.3,0.48,0.65,0.47,0.64,0.7,48.94
DK-340,DeKalb,14720000,440000,870000,0.45,0.88,0.34,0.06,1,0.14,1,0.19,0.07,37.48,0.09,0.47,0.44,0.8,0.81,0.4,42.97
WA-021,Walton,36220000,2240000,6860000,1.02,3.14,0.26,0.02,1,0.12,0,0.12,0.07,19.3,0.14,0.47,0.49,0.34,0.79,0.6,42.18
FT-001B,Forsyth,18980000,7730000,76700000,5.12,50.75,0.38,0.01,1,0.17,0,0.15,0.08,22.5,0.79,0.5,0.91,0.68,0.32,0.8,64.68
CH-020B,Cherokee,58290000,3470000,20070000,0.77,4.42,0.27,0.03,1,0.1,0,0.11,0.08,19.61,0.26,0.48,0.53,0.22,0.78,0.4,43.17
SP-067A,Spalding,9720000,150000,-1420000,0.15,-1.42,0.22,0.02,1,0,0,0.07,0.08,17.17,0.07,0.47,0.42,0.7,0.83,0.2,39.39
CH-020A3,Cherokee,13820000,2300000,8220000,1.99,7.1,0.36,0.07,1,0.15,0,0.12,0.08,22.74,0.15,0.48,0.53,0.62,0.77,0.9,48.5
HE-020B,Henry,15290000,930000,1030000,0.85,0.93,0.35,0.09,1,0.15,1,0.13,0.09,37.83,0.09,0.48,0.46,0.57,0.79,1,46.64
FT-306B,Forsyth,29550000,1430000,10750000,2.06,5.91,0.32,0.27,1,0.45,1,0.11,0.09,42.86,0.19,0.48,0.61,0.78,0.73,0.7,49.51
RO-206,Rockdale,26970000,1940000,5040000,0.96,2.49,0.35,0.08,1,0.18,0,0.1,0.09,22.67,0.12,0.47,0.56,0.77,0.69,0.8,47.1
FT-001D,Forsyth,34810000,1100000,14980000,0.47,6.38,0.25,0.1,1,0.01,0,0.14,0.09,19.85,0.22,0.49,0.49,0.42,0.81,0.6,46.18
RO-242A,Rockdale,96020000,2130000,6530000,0.34,1.03,0.22,0.03,1,0.04,1,0.09,0.09,33.12,0.14,0.49,0.5,0.21,0.8,0.3,38.47
DK-065B,DeKalb,23880000,2420000,8220000,1.91,6.49,0.31,0.14,1,0.16,1,0.18,0.1,38.83,0.15,0.49,0.57,0.52,0.71,0.9,47.33
RO-235A,Rockdale,18090000,0,-1140000,0,-1,0.22,0.28,1,0.05,1,0.14,0.1,37.67,0.07,0.47,0.42,0.53,0.83,0.3,38.85
NE-021,Newton,30480000,1580000,3690000,0.79,1.83,0.21,0,1,0,0,0.12,0.1,17.62,0.11,0.47,0.44,0.63,0.81,0.4,41.92
St Rt 20 East,Walton,201440000,6450000,26740000,0.49,2.02,0.23,0.01,1,0.07,1,0.09,0.11,33.61,0.33,0.48,0.54,0.19,0.83,0.4,45.43
DK-065C,DeKalb,16140000,960000,590000,0.96,0.59,0.33,0.37,1,0.18,1,0.23,0.11,43.41,0.08,0.47,0.44,0.8,0.79,0.9,47.72
FN-233A,Fulton,35950000,17590000,56930000,6.66,22.08,0.39,0.03,1,0.19,0,0.18,0.11,24.18,0.63,0.49,0.81,0.44,0.56,0.8,60.27
BA-005B,Barrow,18440000,1160000,2330000,0.91,1.82,0.2,0.06,1,0,1,0.09,0.11,33.15,0.1,0.47,0.45,0.34,0.82,0.4,39.09
Wesley Flakes,DeKalb,46510000,2600000,11840000,0.86,3.9,0.26,0.03,1,0.01,1,0.16,0.11,34.7,0.19,0.49,0.56,0.75,0.74,0.6,47.93
PA-032,Paulding,30980000,1200000,6420000,0.2,1.05,0.21,0.01,1,0.01,0,0.06,0.11,17.38,0.14,0.47,0.2,0.32,0.92,0.2,37.13
West Winder Bypass,Barrow,105960000,1600000,11990000,0.21,1.6,0.2,0.14,1,0,1,0.08,0.12,34.32,0.18,0.46,0.41,0.46,0.82,0.4,42.08
FA-085,Fayette,7040000,480000,790000,0.17,0.28,0.31,0.12,1,0.11,0,0.08,0.12,22.25,0.09,0.47,0.45,0.54,0.82,0.4,40.62
RO-235C,Rockdale,8620000,1030000,1590000,1.61,2.48,0.25,0.05,1,0.14,1,0.12,0.12,35.8,0.09,0.48,0.42,0.73,0.84,0.4,42.9
GW-269,Gwinnett,39310000,4400000,14210000,1.8,5.81,0.36,0.13,1,0.24,0,0.19,0.12,25.8,0.21,0.48,0.48,0.44,0.77,1,49.19
DO-252B,Douglas,6000000,790000,-960000,1.74,-2.13,0.33,0.13,1,0.25,0,0.07,0.13,24.41,0.07,0.46,0.46,0.6,0.81,0.5,41.29
CH-010A2,Cherokee,54040000,3490000,24240000,1.06,7.35,0.27,0.06,1,0.11,0,0.11,0.13,21.1,0.3,0.47,0.57,0.7,0.74,0.7,51.8
BA-005A,Barrow,37040000,1510000,2830000,0.53,1,0.2,0,1,0,1,0.08,0.13,32.41,0.1,0.42,0.42,0.26,0.82,0.2,34.84
DK-030,DeKalb,50900000,1490000,10760000,1.38,9.99,0.28,0.11,1,0.06,1,0.18,0.13,37.16,0.18,0.49,0.49,0.65,0.81,0.5,45.97
DK-341A,DeKalb,31790000,2730000,10060000,1.33,4.91,0.26,0.03,1,0.01,1,0.16,0.13,35.02,0.17,0.49,0.59,0.72,0.72,0.6,47.11
DK-330,DeKalb,14610000,1180000,3980000,1.21,4.09,0.23,0.05,1,0.01,0,0.09,0.13,19.08,0.12,0.46,0.43,0.6,0.86,0.8,46.03
WA-002,Walton,69890000,2560000,9620000,0.54,2.04,0.24,0.02,1,0.1,0,0.09,0.13,19.54,0.17,0.47,0.48,0.14,0.8,0.3,37.98
DK-065E,DeKalb,23960000,800000,150000,0.52,0.09,0.33,0.07,1,0.37,1,0.24,0.14,41.36,0.08,0.48,0.41,0.85,0.82,0.8,47.33
FA-236B,Fayette,13340000,210000,610000,0.2,0.58,0.2,0.03,1,0,1,0.07,0.14,32.98,0.08,0.5,0.44,0.27,0.82,0.2,36.29
East Fayetteville Bypass,Fayette,53580000,2790000,8630000,0.73,2.25,0.22,0.02,1,0.01,1,0.07,0.14,33.25,0.15,0.51,0.75,0.19,0.58,0.2,37.38
BA-008,Barrow,14440000,720000,19130000,0.21,5.47,0.21,0.01,1,0.01,0,0.11,0.15,18.46,0.26,0.47,0.42,0.79,0.85,0.5,49.43
FA-236A,Fayette,40240000,3420000,8460000,1.48,3.66,0.23,0.02,1,0.01,0,0.07,0.15,18.69,0.15,0.5,0.72,0.15,0.62,0.2,36.83
FN-269,Fulton,20480000,3170000,12140000,2.15,8.23,0.32,0.01,1,0.35,0,0.22,0.16,25.39,0.19,0.5,0.53,0.42,0.72,0.9,47.44
FT-008B,Forsyth,44870000,3930000,42250000,1.2,12.87,0.24,0.05,1,0.01,1,0.13,0.16,35.06,0.46,0.49,0.72,0.68,0.52,0.7,55.06
