County,ID,Future Congestion,Future Accessibility,Future Freight,Future Deliverability,Future Air Quality,Future Volume,Future Score,Current Congestion,Current Safety,Current Freight,Current Buffer Index,Current Equitable Target Areas,Current Air Quality,Current Accessibility,Current Score,BC 2015,BC 2040,Annual Benefit 2040,Annual Cost
Gwinnett,GW-020D,0.211133,0.4762,0.3775,0.724537,0.757801,1,50.626383,0.361381,0.049589,1,0.161767,0,0.229757,0.048185,22.85037,4.3,13.4,14.35,1071272.101
Gwinnett,GW-099C,0.189,0.4514,0.2772,0.690084,0.87814,0.6,45.799947,0.262105,0.013954,1,0.06668,1,0.122998,0.031897,32.986122,0.51,7.87,11.52,1463976.016
Gwinnett,GW-269,0.210733,0.4828,0.3363,0.439695,0.77254,1,47.740054,0.357986,0.127295,1,0.236469,0,0.187116,0.124873,25.802449,1.8,5.81,14.2,2443889.778
Gwinnett,GW-271B,0.4396,0.4752,0.6661,0.684822,0.617773,1,57.843811,0.39815,0.02586,1,0.284919,0,0.221333,0.427893,31.971276,4.92,12.25,39.07,3188718.114
Gwinnett,GW-308B,1,0.464,1,0.217934,0.165564,0.6,62.262805,0,0,0,0,0,0.108443,0.029182,1.668075,1.45,7.35,120.38,16384137.86
Gwinnett,GW-309,0.149533,0.504,0.3281,0.69506,0.768989,0.8,46.852439,0.199906,1,1,0,1,0.31275,1,67.125622,1.04,3.05,7.75,2544302.167
Gwinnett,GW-364,0.2038,0.48,0.5163,0.664069,0.727995,1,50.837619,0.448522,0.077884,1,0.259222,1,0.200656,0.041737,40.572225,4.41,12.31,13.78,1119313.098
Gwinnett,GW-371,0.216067,0.4954,0.4233,0.857761,0.789323,1,53.517453,0.337035,0.227099,1,0.394606,1,0.353352,0.644723,55.521239,4.71,13.26,14.81,1117209.507
Gwinnett,GW-386,0.3094,0.4726,0.0386,0.747527,0.886839,0.4,46.260853,0.207736,0.040734,1,0.003577,0,0.149957,0.183577,19.972609,0.26,2.98,23.75,7964419.982
Gwinnett,GW-387,0.081333,0.4708,0.2671,0.401526,0.826136,0.9,42.288298,0.288752,0,1,0.223155,0,0.462379,0.37394,30.109176,8.41,3.21,0.19,71016.85037
Gwinnett,GW-388,0.160867,0.6106,0.6322,0.286584,0.458523,0.9,45.156688,0.260741,0.181704,1,0.09833,0,0.186173,   ,20.78542,1.03,10.06,9.45,1124667.426
Gwinnett,GW-389,0.226667,0.7124,0.5772,1,0.517596,0.9,57.145941,0.259134,0.062738,1,0.082381,0,0.276365,   ,19.711208,2.51,14.63,16.22,993100.1739
Gwinnett,GW-AR-242,0.073867,0.7126,0.3093,0.606624,0.812331,0.2,43.375212,0,0,0,0,0,0.182202,   ,1.822017,-1.03,-2.58,-0.41,129592.7675
Henry,HE-01,0.251467,0.479106,0.428,0.621066,0.941079,0.7,51.128492,0.256837,0.034556,1,0.008687,0,0.157673,0,17.318681,1.45,6.18,39.8,802135.7595
Henry,HE-02,0.134733,0.482561,0.3125,0.66174,0.891609,0.6,45.222565,0.273366,0.085454,1,0.069452,1,0.070805,0,33.151703,3.26,23.4,27.13,655581.2784
Henry,HE-020A,0.1192,0.475,0.2953,0.905861,0.808413,0.9,48.588802,0.299931,0.029571,1,0.181344,1,0.144196,0.037665,35.450904,0.92,3.72,4.28,1095154.712
Henry,HE-020B,0.0872,0.4796,0.3103,0.565821,0.785542,1,45.15035,0.345475,0.090548,1,0.15212,1,0.129463,0.087207,37.827703,0.9,0.98,1.02,1098467.441
Henry,HE-107,0.300667,0.4838,0.5443,0.466752,0.640495,0.7,47.832944,0.302504,0.016945,1,0.172892,1,0.097383,0.07058,35.418613,0.62,3.74,24.6,6460248.117
